伯努利，尼古拉第二	Nicolaus II Bernoulli	(1695-1726)
伯努利，雅各布第一	Jacob I Bernoulli	(1654-1705)
伯努利，雅各布第二	Jacob II Bernoulli	(1759-1789)
伯努利，约翰第一	John I Bernoulli	(1667-1748)
伯努利，约翰第二	John II Bernoulli	(1710-1790)
伯努利，约翰第三	John III Bernoulli	(1744-1807)
伯奇	B. J. Birch	(1931- )
博尔扎	O. Bolza	(1857-1942)
博戈柳博夫	N. N. Bogolyubov	(1909-1992)
博赫纳	S. Bochner	(1899-1982)
博克斯	G. E. P. Box	(1919-2013)
博雷尔	A. Borel	(1923-2003)
博雷尔	E. Borel	(1871-1956)
博内	P. -O. Bonnet	(1819-1892)
博切尔兹	R. E. Borcherds	(1959-)
博斯	A. Bosse	(1602-1676)
博特	R. Bott	(1923-2005)
博耶	C. B. Boyer	(1906-1976)
博伊西斯	A. M. S. Boethius	(约 480-524)
柏拉图	Plato	(公元前427 - 前347)
布尔	G. Boole	(1815-1864)
布尔巴基	N. Bourbaki
布尔甘	J. Bourgain	(1954-)
布丰	G. L. L. Buffon	(1707-1788)
布拉德沃丁	T. Bradwardine	(约1290-1349)
布拉利－福尔蒂	C. Burali-Forti	(1861-1931)
布拉施克	W. Blaschke	(1885-1962)
布拉维	A. Bravais	(1811-1863)
布莱克韦尔	D. Blackwell	(1919-2010)
布朗	R. Brown	(1773-1858)
布劳德	F. E. Browder	(1927-)
布劳德	W. Browder	(1934-)
布劳威尔	L. E. J. Brouwer	(1881-1966)
布里昂雄	C. -J. Brianchon	(1783-1864)
布里格斯	H. Briggs	(1561-1631)
布里松	Bryson of Heraclea	(公元前450年左右)
布里渊	M. L. Brillouin	(1854-1948)
布龙克尔	W. Brouncker	(1620-1684)
布卢门塔尔	L. O. Blumenthal	(1876-1944)
布伦	V. Brun	(1885-1978)
布洛赫	A. Bloch	(1893-1948)
布吕阿	F. Bruhat	(1929-2007)
布尼亚科夫斯基	V. Ya. Bunyakovskii	(1804-1889)
布饶尔	R. D. Brauer	(1901-1977)
布斯曼	H. Busemann	(1905-1994)
布西	R. S. Bucy	(1935-)
布西内斯克	J. V. Boussinesq	(1842-1929)
才奥伯格	D. Zeilberger	(1950-)
采特林	M. L. Tsetlin 	(1924-1966)
策梅洛	E. F. F. Zermelo	(1871-1953)
查普曼	S. Chapman	(1888-1970)
陈建功	Chen Kien-Kwong	(1893-1971)
陈景润	Chen Ching-Jun	(1933-1996)
陈省身	Chern Shiing-Shen	(1911-2004)
程大位	Cheng Dawei	(1533-1606)
楚列斯基	A. -L. Cholesky	(1875-1918)
川又雄二郎	Kawamata Yujiro	(1952-)
措伊滕	H. G. Zeuthen	(1839-1920)
达布	G. Darboux	(1842-1917)
达尔文	C. G. Darwin	(1887-1962)
达尔文	G. H. Darwin	(1845-1912)
达芬	G. Duffing	(1861-1944)
达·芬奇	L. da Vinci	(1452-1519)
达朗贝尔	J. L. R. d'Alembert	(1717-1783)
达文波特	H. Davenport	(1907-1969)
戴德金	J. W. R. Dedekind	(1831-1916)
戴克	W. F. A. von Dyck	(1856-1934)
戴森	F. J. Dyson	(1923-)
戴维斯	M. D. Davis	(1928-)
丹齐格	G. B. Dantzig	(1914-2005)
当茹瓦	A. Denjoy	(1884-1974)
道格拉斯	J. Douglas	(1897-1965)
道格拉斯	R. G. Douglas	(1938- )
德拜	P. J. W. Debye	(1884-1966)
德布朗热	L. de Branges	(1932-
德布鲁	G. Debreu	(1921-2004)
德恩	M. Dehn	(1878-1952)
德弗里斯	G. de Vries	(1866-1934)
德拉姆	G. de Rham	(1903-1990)
德拉瓦莱普桑	C. -J. de la Vallée-Poussin	(1866-1962)
德利涅	P. R. Deligne	(1944)
德林费尔德	V. G. Drinfel'd	(1954-
德摩根	A. De Morgan	(1806-1871)
德谟克利特	Democritus	(约公元前 460-约前 370)
德乔治	E. de Giorgi	(1928-1996)
德萨格	G. Desargues	(1591-1661)
邓福德	N. Dunford	(1906-1986)
邓肯	E. B. Dynkin	(1924-2014)
狄克森	L. E. Dickson	(1874-1954)
狄克逊	A. C. Dixon	(1865-1936)
狄拉克	P. A. M. Dirac	(1902-1984)
狄利克雷	P. G. Dirichlet	(1805-1859)
狄诺斯特拉托斯	Dinostratus	(公元前4世纪)
迪厄多内	J. A. Dieudonné	(1906-1992)
迪菲	B. W. Diffie	(1944-)
迪尼	U. Dini	(1845-1918)
迪潘	P. C. F. Dupin	(1784-1873)
笛卡儿	R. du P. Descartes	(1596-1650)
蒂茨	J. L. Tits	(1930-0)
蒂奇马什	E. C. Titchmarsh	(1899-1963)
棣莫弗	A. De Moivre	(1667-1754)
丁伯根	J. Tinbergen	(1903-1994)
丢番图	Diophantus	(公元250左右)
丢勒	A. Dürer	(1471-1528)
杜阿梅尔	J. M. C. Duhamel	(1797-1872)
杜布	J. L. Doob	(1910-2004)
杜布瓦雷蒙	P. D. G. du Bois-Reymond	(1831-1889)
段学复	Tuan Hsio-Fu	(1914-2005)
多伊林	M. F. Deuring	(1907-1984)
恩奎斯特	B. Engquist	(1945-)
恩里克斯	F. Enriques	(1871-1946)
恩斯库格	D. Enskog	(1884-1947)
法尔廷斯	G. Faltings	(1954-)
法捷耶夫	L. D. Faddeev	(1934-2017)
法里	J. Farey	(1766-1826)
法尼亚诺	G. C. Fagnano	(1682-1766)
法诺	G. Fano	(1871-1952)
法图	P. J. L. Fatou	(1878-1929)
凡塔皮耶	L. Fantappiè	(1901-1956)
樊畿	Fan Ky	(1914-2010)
饭高茂	Iitaka Shigeru	(1942-)
范德波尔	B. van der Pol	(1889-1959)
范德科普	J. G. van der Corput	(1890-1975)
范德蒙德	A. T. Vandermonde	(1735-1796)
范德瓦尔登	B. L. van der Waerden	(1903-1996)
范坎彭	E. R. van Kampen	(1908-1942)
范斯霍滕	F. van Schooten	(1615-1660)
范因	H. B. Fine	(1858-1928)
菲尔兹	J. C. Fields	(1863-1932)
菲赫金戈尔兹	G. M. Fikhtengol'tz	(1888-1959)
菲隆	L. N. G. Filon	(1875-1937)
菲涅尔	A. J. Fresnel	(1788-1827)
菲廷	H. Fitting	(1906-1938)
菲托里斯	L. Vietoris	(1891-2002)
斐波那契	L. Fibonacci	(约1170-1250)
费奥雷	A. M. Fiore	(1535 左右)
费德雷尔	H. Federer	(1920-2010)
费恩曼	R. P. Feynman	(1918-1988)
费尔伯格	E. Fehlberg	(1911-1990)
费弗曼	C. L. Fefferman	(1949-)
费拉里	L. Ferrari	(1522-1565)
费勒	W. Feller 	(1906-1970)
费罗	S. Ferro	(1465-1526)
费洛劳斯	Philolaus	(约卒于公元前 390)
费马	P. de Fermat	(1601-1665)
费舍尔	E. Fischer	(1875-1954)
费特	W. Feit	(1930-2004)
费外	E. Viehweg	(1948-2010)
费希尔	R. A. Fisher	(1890-1962)
费耶	L. Fejér	(1880-1959)
芬克	T. Fink	(1561-1656)
芬斯勒	P. Finsler	(1894-1970)
冯康	Feng Kang	(1920-1993)
冯·米泽斯	R. von Mises	(1883-1953)
冯·诺依曼	J. von Neumann	(1903-1957)
弗拉蒂尼	G. Frattini	(1852-1925)
弗赖德林	M. I. Freidlin	(1938-)
弗兰克	P. Frank	(1884-1966)
弗兰克尔	P. Frankl	(1953-)
弗勒利希	A. Frohlich	(1916-2001)
弗雷德霍姆	E. I. Fredholm	(1866-1927)
弗雷格	F. L. G. Frege	(1848-1925)
弗雷歇	M. -R. Fréchet	(1878-1973)
弗里德里希斯	K. O. Friedrichs	(1901-1982)
弗里德曼	M. Freedman	(1951-)
弗里施	R. Frisch	(1895-1973)
